"","Country/Region","date.x","var","value","value_new","population","Lat","Long","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Continent","date.y"
"125","Cameroon",2020-04-10,"active",730,0,26546000,3,11,803,NA,12,NA,61,730,NA,30,0.5,NA,NA,"Africa","2020-04-10"
"126","Cameroon",2020-04-10,"confirmed",803,NA,26546000,3,10,803,NA,12,NA,61,730,NA,30,0.5,NA,NA,"Africa","2020-04-10"
"127","Cameroon",2020-04-10,"deaths",12,NA,26546000,2,7,803,NA,12,NA,61,730,NA,30,0.5,NA,NA,"Africa","2020-04-10"
"128","Cameroon",2020-04-10,"recovered",61,0,26546000,3,11,803,NA,12,NA,61,730,NA,30,0.5,NA,NA,"Africa","2020-04-10"
"129","Canada",2020-04-10,"active",15132,409,37742000,46.5107,-116.5765,21243,478,531,22,5580,15132,518,563,14,370315,9812,"North America","2020-04-10"
"130","Canada",2020-04-10,"confirmed",21243,478,37742000,64.8255,-63.4168,21243,478,531,22,5580,15132,518,563,14,370315,9812,"North America","2020-04-10"
"131","Canada",2020-04-10,"deaths",531,22,37742000,64.8255,0,21243,478,531,22,5580,15132,518,563,14,370315,9812,"North America","2020-04-10"
"132","Canada",2020-04-10,"recovered",5580,1008,37742000,52.9399,-122.6655,21243,478,531,22,5580,15132,518,563,14,370315,9812,"North America","2020-04-10"
"133","Central African Republic",2020-04-10,"active",8,0,4830000,6,11,8,NA,NA,NA,NA,8,NA,2,NA,NA,NA,"Africa","2020-04-10"
"134","Central African Republic",2020-04-10,"confirmed",8,NA,4830000,4,2,8,NA,NA,NA,NA,8,NA,2,NA,NA,NA,"Africa","2020-04-10"
"135","Central African Republic",2020-04-10,"deaths",NA,NA,4830000,2,13,8,NA,NA,NA,NA,8,NA,2,NA,NA,NA,"Africa","2020-04-10"
"136","Central African Republic",2020-04-10,"recovered",NA,0,4830000,1,4,8,NA,NA,NA,NA,8,NA,2,NA,NA,NA,"Africa","2020-04-10"
"137","Chad",2020-04-10,"active",9,1,16426000,5,2,11,NA,NA,NA,2,9,NA,0.7,NA,NA,NA,"Africa","2020-04-10"
"138","Chad",2020-04-10,"confirmed",11,NA,16426000,7,14,11,NA,NA,NA,2,9,NA,0.7,NA,NA,NA,"Africa","2020-04-10"
"139","Chad",2020-04-10,"deaths",NA,NA,16426000,2,12,11,NA,NA,NA,2,9,NA,0.7,NA,NA,NA,"Africa","2020-04-10"
"140","Chad",2020-04-10,"recovered",2,0,16426000,4,4,11,NA,NA,NA,2,9,NA,0.7,NA,NA,NA,"Africa","2020-04-10"
"141","Chile",2020-04-10,"active",4865,258,19116000,-35.6751,-71.543,6501,529,65,8,1571,4865,360,340,3,72797,3808,"South America","2020-04-10"
"142","Chile",2020-04-10,"confirmed",6501,529,19116000,-35.6751,-71.543,6501,529,65,8,1571,4865,360,340,3,72797,3808,"South America","2020-04-10"
"143","Chile",2020-04-10,"deaths",65,8,19116000,-35.6751,-71.543,6501,529,65,8,1571,4865,360,340,3,72797,3808,"South America","2020-04-10"
"144","Chile",2020-04-10,"recovered",1571,159,19116000,-35.6751,-71.543,6501,529,65,8,1571,4865,360,340,3,72797,3808,"South America","2020-04-10"
"145","China",2020-04-10,"active",1116,-40,1471287000,41.2956,113.9448,81907,42,3336,1,77455,1116,144,57,2,NA,NA,"Asia","2020-04-10"
"146","China",2020-04-10,"confirmed",81907,42,1471287000,44.0935,112.2707,81907,42,3336,1,77455,1116,144,57,2,NA,NA,"Asia","2020-04-10"
"147","China",2020-04-10,"deaths",3336,1,1471287000,37.5777,113.55,81907,42,3336,1,77455,1116,144,57,2,NA,NA,"Asia","2020-04-10"
"148","China",2020-04-10,"recovered",77455,112,1471287000,44.0935,120.0934,81907,42,3336,1,77455,1116,144,57,2,NA,NA,"Asia","2020-04-10"
"149","Colombia",2020-04-10,"active",1980,103,50883000,1,-74.2973,2223,NA,69,NA,174,1980,85,44,1,34910,686,"South America","2020-04-10"
"150","Colombia",2020-04-10,"confirmed",2223,NA,50883000,4,-74.2973,2223,NA,69,NA,174,1980,85,44,1,34910,686,"South America","2020-04-10"
"151","Colombia",2020-04-10,"deaths",69,NA,50883000,2,-74.2973,2223,NA,69,NA,174,1980,85,44,1,34910,686,"South America","2020-04-10"
"152","Colombia",2020-04-10,"recovered",174,51,50883000,1,-74.2973,2223,NA,69,NA,174,1980,85,44,1,34910,686,"South America","2020-04-10"
"153","Congo (Brazzaville)",2020-04-10,"active",NA,12,83993000,-4.0383,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Congo (Brazzaville)",2020-04-10,"confirmed",NA,NA,83993000,-4.0383,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Congo (Brazzaville)",2020-04-10,"deaths",NA,NA,83993000,-4.0383,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Congo (Brazzaville)",2020-04-10,"recovered",NA,3,83993000,-4.0383,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Congo (Kinshasa)",2020-04-10,"active",NA,0,89561000,-4.0383,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Congo (Kinshasa)",2020-04-10,"confirmed",NA,NA,89561000,-4.0383,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Congo (Kinshasa)",2020-04-10,"deaths",NA,NA,89561000,-4.0383,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Congo (Kinshasa)",2020-04-10,"recovered",NA,0,89561000,-4.0383,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Costa Rica",2020-04-10,"active",506,36,5094000,4,-83.7534,539,NA,3,NA,30,506,13,106,0.6,6298,1236,"North America","2020-04-10"
"162","Costa Rica",2020-04-10,"confirmed",539,NA,5094000,3,-83.7534,539,NA,3,NA,30,506,13,106,0.6,6298,1236,"North America","2020-04-10"
"163","Costa Rica",2020-04-10,"deaths",3,NA,5094000,6,-83.7534,539,NA,3,NA,30,506,13,106,0.6,6298,1236,"North America","2020-04-10"
"164","Costa Rica",2020-04-10,"recovered",30,1,5094000,1,-83.7534,539,NA,3,NA,30,506,13,106,0.6,6298,1236,"North America","2020-04-10"
"165","Cote d'Ivoire",2020-04-10,"active",389,56,54410000,4,-5.5471,444,NA,3,NA,52,389,NA,17,0.1,NA,NA,"Africa","2020-04-10"
"166","Cote d'Ivoire",2020-04-10,"confirmed",444,NA,54410000,6,-5.5471,444,NA,3,NA,52,389,NA,17,0.1,NA,NA,"Africa","2020-04-10"
"167","Cote d'Ivoire",2020-04-10,"deaths",3,NA,54410000,2,-5.5471,444,NA,3,NA,52,389,NA,17,0.1,NA,NA,"Africa","2020-04-10"
"168","Cote d'Ivoire",2020-04-10,"recovered",52,4,54410000,4,-5.5471,444,NA,3,NA,52,389,NA,17,0.1,NA,NA,"Africa","2020-04-10"
