"","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Continent","date"
"22","Portugal",15472,1516,435,26,233,14804,226,1517,43,144000,14122,"Europe","2020-04-10"
"23","Austria",13549,305,319,24,6064,7166,261,1504,35,134743,14961,"Europe","2020-04-10"
"24","Russia",11917,1786,94,18,795,11028,8,82,0.6,1090000,7469,"Europe","2020-04-10"
"25","Korea, South",10450,27,208,4,7117,3125,55,204,4,503051,9812,"Asia","2020-04-10"
"26","Israel",10095,127,95,9,1061,8939,164,1166,11,117339,13557,"Asia","2020-04-10"
"27","Sweden",9685,544,870,77,381,8434,749,959,86,54700,5416,"Europe","2020-04-10"
"28","India",7347,622,229,2,641,6477,NA,5,0.2,177584,129,"Asia","2020-04-10"
"29","Ecuador",7161,2196,297,25,368,6496,171,406,17,21568,1222,"South America","2020-04-10"
"30","Ireland",6574,NA,263,NA,25,6286,194,1331,53,53000,10734,"Europe","2020-04-10"
"31","Chile",6501,529,65,8,1571,4865,360,340,3,72797,3808,"South America","2020-04-10"
"32","Norway",6298,79,112,4,32,6154,70,1162,21,123170,22720,"Europe","2020-04-10"
"33","Australia",6203,51,53,2,3141,3009,74,243,2,338346,13269,"Australia/Oceania","2020-04-10"
"34","Poland",5955,380,181,7,318,5456,160,157,5,118295,3126,"Europe","2020-04-10"
"35","Denmark",5819,184,247,10,1773,3799,113,1005,43,64731,11176,"Europe","2020-04-10"
"36","Czechia",5674,105,119,7,346,5209,98,530,11,114854,10725,"Europe","2020-04-10"
"37","Japan",5530,183,99,NA,685,4746,109,44,0.8,64387,509,"Asia","2020-04-10"
"38","Romania",5467,265,270,22,729,4468,183,284,14,55430,2881,"Europe","2020-04-10"
"39","Peru",5256,NA,138,NA,1438,3680,124,159,4,48465,1470,"South America","2020-04-10"
"40","Pakistan",4695,206,66,1,727,3902,45,21,0.3,54706,248,"Asia","2020-04-10"
"41","Malaysia",4346,118,70,3,1830,2446,69,134,2,69675,2153,"Asia","2020-04-10"
"42","Philippines",4195,119,221,18,140,3834,1,38,2,24500,224,"Asia","2020-04-10"
"43","Saudi Arabia",3651,364,47,3,685,2919,57,105,1,115585,3320,"Asia","2020-04-10"
"44","Indonesia",3512,219,306,26,282,2924,NA,13,1,17679,65,"Asia","2020-04-10"
